CODIGO;LOCALIDAD;ESTRATO;CATEGORIA;ACTIVIDAD;GESTION COBRO;ESTADO JURIDICO;CONVENIO;TARIFA BASE;ACTA;ANO VINCULACION;PORCENTAJE DINERO PAGADO PERIODO DE VINCULACION
20030100;Engativa;3;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2003;81.92
20160100;Engativa;3;3;VENTA Y DISTRIBUCION DE MA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;58.14
19970100;Engativa;3;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;1997;93.12
20160100;Engativa;3;3;SPA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;58.14
20160100;Engativa;3;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;58.14
20090100;Engativa;2;3;TIENDA VTA LICORES;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2009;70.22
20160100;Engativa;2;3;FRUTERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;57.33
20040100;Engativa;3;3;SUPERMERCADO PEQUEÔO;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2004;80.24
19940100;Engativa;3;3;ALMACEN PEQUENO;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;1994;98.65
20150100;Engativa;3;3;TDA VTA LICOR;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2015;58.12
20150100;Engativa;3;3;BAR;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2015;58.44
19940100;Engativa;3;3;TIENDA VTA LICORES;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;1994;98.65
20160100;Engativa;3;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;58.14
20160100;Engativa;3;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;58.14
20160100;Engativa;3;3;PANADERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;53.53
20170100;Engativa;3;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2017;56.3
19940100;Engativa;3;3;ALMACEN PEQUEÔO;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;1994;98.65
20040100;Engativa;4;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2004;81.04
20120100;Engativa;3;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2012;65.5
